"pth","Points:0","Points:1","Points:2"
0.5,0.027278,0.0091361,0
0.5,0.027378,0.0090363,0
0.5,0.00053956,0.0016284,0
0.5,0.00059812,0.0017376,0
0.5,0.032252,0.0098091,0
0.5,0.032243,0.0096899,0
0.5,0.03237,0.0096627,0
0.5,0.00068288,0.001842,0
0.5,0.00010825,0.0084375,0
0.5,0.00022851,0.0085095,0
0.5,0.00031441,0.0084242,0
0.5,0.00043887,0.0083544,0
0.5,0.032479,0.0096862,0
0.5,0.032623,0.0096954,0
0.5,0.04,0.005625,0
0.5,0.039875,0.0056896,0
0.5,0.00042802,0.0016207,0
0.5,0.033308,0.0091293,0
0.5,0.033431,0.009134,0
0.5,0.039789,0.0057496,0
0.5,0.032725,0.0096062,0
0.5,0.027189,0.0092323,0
0.5,0.027071,0.0092131,0
0.5,0.031375,0.0082272,0
0.5,0.031312,0.008119,0
0.5,0.03125,0.0080107,0
0.5,0.030563,0.0081188,0
0.5,0.030625,0.0082272,0
0.5,0.0305,0.0080107,0
0.5,0.025312,0.008119,0
0.5,0.025188,0.008119,0
0.5,0.025125,0.0082272,0
0.5,0.024813,0.0083355,0
0.5,0.02475,0.0084437,0
0.5,0.024188,0.008119,0
0.5,0.02425,0.0080107,0
0.5,0.023875,0.0082272,0
0.5,0.023813,0.0083355,0
0.5,0.023687,0.0083355,0
0.5,0.0073125,0.008119,0
0.5,0.0074375,0.008119,0
0.5,0.022813,0.008119,0
0.5,0.022875,0.0082272,0
0.5,0.02275,0.0080107,0
0.5,0.022125,0.0082272,0
0.5,0.022063,0.0081181,0
0.5,0.022001,0.0080107,0
0.5,0.00875,0.0062787,0
0.5,0.0088125,0.0061704,0
0.5,0.016563,0.0066034,0
0.5,0.016688,0.0066034,0
0.5,0.016313,0.00682,0
0.5,0.016438,0.00682,0
0.5,0.0089375,0.0061704,0
0.5,0.019063,0.0063869,0
0.5,0.019188,0.0063869,0
0.5,0.025438,0.008119,0
0.5,0.024937,0.0083355,0
0.5,0.020063,0.0059539,0
0.5,0.019938,0.0059539,0
0.5,0.024063,0.008119,0
0.5,0.012688,0.0018403,0
0.5,0.012813,0.0018403,0
0.5,0.012938,0.0018403,0
0.5,0.019313,0.0061704,0
0.5,0.019437,0.0061704,0
0.5,0.021938,0.0066034,0
0.5,0.021875,0.0064952,0
0.5,0.013063,0.0018403,0
0.5,0.022,0.0067117,0
0.5,0.013188,0.0018403,0
0.5,0.013313,0.0018403,0
0.5,0.013437,0.0018403,0
0.5,0.023563,0.0083355,0
0.5,0.016813,0.0066034,0
0.5,0.0090625,0.0061704,0
0.5,0.009125,0.0060622,0
0.5,0.015999,0.0080107,0
0.5,0.015937,0.0081184,0
0.5,0.011065,0.0027102,0
0.5,0.011192,0.0026987,0
0.5,0.015813,0.0081184,0
0.5,0.007625,0.0069282,0
0.5,0.0075625,0.0070365,0
0.5,0.0074375,0.0070365,0
0.5,0.015688,0.008119,0
0.5,0.033243,0.0092189,0
0.5,0.033178,0.0093142,0
0.5,0.015625,0.0082272,0
0.5,0.0078125,0.00682,0
0.5,0.0076875,0.00682,0
0.5,0.013688,0.0020568,0
0.5,0.013563,0.0020568,0
0.5,0.01925,0.0062787,0
0.5,0.0015625,0.0020568,0
0.5,0.0014375,0.0020568,0
0.5,0.026062,0.0092023,0
0.5,0.025938,0.0092022,0
0.5,0.01075,0.0067117,0
0.5,0.010813,0.00682,0
0.5,0.0013125,0.0020568,0
0.5,0.010688,0.0066034,0
0.5,0.026313,0.0066034,0
0.5,0.026375,0.0064952,0
